#{"t_start": 1760363941.1958025, "env_id": "LunarLander-v3"}
r,l,t
-160.056192,73,171.767142
-103.54338,126,171.892529
-137.390429,66,171.962966
-272.079194,93,172.053209
-249.703575,111,172.167987
-107.125512,78,172.263513
-119.19589,87,172.358886
-102.719956,100,172.461333
-241.640404,107,172.58017
-133.98689,69,172.66334
-275.898097,105,172.773749
-350.898528,90,172.86994
-19.140755,163,173.039564
-196.455585,115,173.15995
-119.447576,104,173.290501
-152.94896,123,173.429502
-517.987809,104,173.538831
-62.256001,65,173.615406
-145.077238,72,173.691816
-272.395468,107,173.813312
-121.920637,74,173.89621
-122.611426,95,173.994986
-89.505614,73,174.07443
-99.123755,64,174.143318
-79.218959,68,174.22067
-347.299137,129,174.377332
-270.140213,99,174.484144
-136.149905,91,174.578221
-148.016953,125,174.717129
-144.899761,108,174.823804
-89.743767,85,174.910237
-249.04045,114,175.027138
-88.926891,75,175.105834
-346.165187,125,175.24963
-80.413199,80,175.342576
-84.252602,63,175.421562
-254.249838,108,175.538308
-139.177154,101,175.651157
-50.971317,80,175.736012
-109.053282,66,175.805868
-78.417982,71,175.877165
-248.82263,73,175.948491
-275.759506,67,176.01794
-87.117678,1000,176.653162
-214.596386,318,176.848293
-127.198811,1000,177.43577
-168.813825,250,177.601472
-129.069301,1000,178.225939
-124.311027,92,178.390861
-400.178779,87,178.550711
-42.10343,111,178.737206
-63.67089,75,178.815387
-403.85793,86,178.905415
-71.200693,113,179.015836
-286.56497,85,179.10381
-113.47877,60,179.169331
-104.384091,81,179.258728
-107.431602,98,179.363478
-170.553967,59,179.428003
-57.207897,80,179.515692
-97.455385,75,179.601701
-116.817346,96,179.716859
-37.155621,73,179.791991
-75.79475,96,179.890234
-123.645704,105,179.993629
-157.780341,75,180.07097
-129.008631,64,180.140918
-187.523303,75,180.220268
-62.313507,67,180.295724
-34.319342,69,180.367958
-105.334828,74,180.445466
-103.854122,69,180.528029
-151.109255,135,180.694392
-106.077947,74,180.775416
-73.494544,70,180.847183
-114.549296,117,180.968989
-465.879822,112,181.077096
-210.754866,82,181.16127
-179.446214,106,181.27256
-103.389203,93,181.376132
-229.890179,100,181.48083
-3.78783,118,181.611948
-84.805203,80,181.712162
-82.855521,65,181.78536
-207.992798,114,181.901435
-119.247164,127,182.031192
-73.124023,66,182.094734
-75.159523,106,182.207959
-63.134675,101,182.314915
-178.785353,107,182.429754
-145.55293,117,182.554013
-333.830792,85,182.652414
-47.465763,65,182.735352
-251.208612,108,182.856893
-122.273433,122,182.976482
-52.221541,72,183.05027
-164.284182,123,183.177044
-188.698292,106,183.283139
-171.834294,86,183.377818
-326.879383,101,183.484883
-110.846166,75,183.567848
-103.840001,110,183.688288
-383.460848,119,183.829495
-68.598096,149,183.9824
-240.590787,103,184.090037
-94.411609,98,184.191759
-103.198719,72,184.26936
-28.934873,93,184.400879
-182.203562,60,184.471921
-99.475014,83,184.566647
-72.688357,116,184.702867
-129.853634,73,184.784424
-234.368768,102,184.910629
-92.482628,71,184.985075
-158.357959,117,185.104926
7.628278,125,185.237384
-108.455222,114,185.360959
